Region,Division,City/Village Name,Total Population,Rural population,Urban population,Rural Male Population,Rural Female Population,Sex Ratio for Adults,Rural Sex Ratio for Adults,Urban Sex Ratio for Adults,Age Group 0_6,Age Group rural 0_6,Age Group Urban 0_6,0_6 age Boys population,0_6 age Rural Boys population,0_6 age Urban Boys population,0_6 age Girls population,0_6 age Rural Girls population,0_6 age Urban Girls population,Sex Ratio for 0-6,Rural Sex Ratio for 0-6,Urban Sex Ratio for 0-6,Literates,Rural Literates,Urban Literates,Male Literates,Rural Male literates,Urban Male Literates,Female Literates,Female Rural Literates,Female Urban Literates,illiterates,Rural illiterates,Urban illiterates,Male illiterates,Rural Male illiterates,Urban Male illiterates,Female illiterates,Female Rural illiterates,Female Urban illiterates,Literacy rate,Rural Literacy rate,Urban Literacy rate,Male Literacy rate,Rural Male Literacy rate,Urban Male Literacy rate,Female Literacy rate,Female Rural Literacy rate,Female Urban Literacy rate,Cultivators Male Workers,Cultivators Female workers,Total Male Workers (Main+Marginal),Total Female workers(Main+Marginal),Agricultural Labour's Female Workers,Agriculture Labours Male Workers,Household Male Workers,Household Female Workers,Male Other Workers,Female Other Workers,Male Non-Workers,Female Non-Workers,Male Main Workers,Female Main Workers,Male Marginal Workers,Female Marginal Workers
Vijayawada,Vijayawada,Vatsavai,61749,61749,0,30670,31107,1013,1013,0,6481,6481,6481,3323,3323,0,3158,3158,0,950,950,0,35119,35119,0,19692,19692,0,15427,15427,0,26630,26630,0,10978,10978,0,15652,15652,0,63.5,63.5,0,72,72,0,55.3,55.3,0,2687,964,16630,13690,11347,11945,153,98,2443,683,12142,14346,16630,13690,1898,3043
Vijayawada,Vijayawada,Jaggayyapeta,26275,72745,53530,36229,36516,1014,1008,1021,13801,8268,5533,7061,4209,2852,6740,4059,2681,955,964,940,78912,40922,37990,43134,23075,20059,35778,17847,17931,47363,31823,15540,19579,13154,6425,27784,18669,9115,70.2,63.5,79.2,77.5,72.1,84.9,63,55,73.6,226,33,14831,5215,1909,2057,329,127,12370,2998,67522,41229,32894,17763,3526,4570
Vijayawada,Vijayawada,Veerullapadu,49089,49089,0,49089,24420,24669,1010,0,5094,5094,0,2612,2612,0,2482,2482,0,950,950,0,26969,26969,0,15353,15353,0,11616,11616,0,2212,2212,0,9067,9067,0,13053,13053,0,61.3,61.3,0,70.4,70.4,0,52.4,52.4,0,2292,478,14618,11181,9907,10129,111,46,2308,528,9408,12433,14618,11181,394,1055
Vijayawada,Vijayawada,Gampalagudem,71544,71544,0,36215,35329,976,976,0,7071,7071,0,3650,3650,0,3421,3421,0,937,937,0,38847,38847,0,22169,22169,0,16678,16678,0,32697,32697,0,14046,14046,0,18651,18651,0,60.3,60.3,0,68.1,68.1,0,52.3,52.3,0,3363,836,19219,15114,11739,13201,245,110,3872,967,14424,16681,19219,15114,2572,3534
Vijayawada,Vijayawada,Tiruvurur,76731,58164,18567,29439,28725,984,976,1009,7041,5424,1617,3588,2721,867,3453,2703,750,962,993,865,46072,32112,13960,25452,18094,7358,20620,14018,6602,30659,26052,4607,13227,11345,1882,17432,14707,2725,66.1,60.9,82.4,72.5,67.7,87.9,59.6,53.9,77,217,12,5242,1880,591,840,71,46,4363,982,16012,22749,20795,11950,1872,3353
Vijayawada,Vijayawada,A.Konduru,45281,48463,0,24675,23788,964,964,0,5027,5027,0,2572,2572,0,2455,2455,0,955,955,0,24067,24067,0,13982,13982,0,10085,10085,0,24396,24396,0,10693,10693,0,13703,13703,0,55.4,55.4,0,63.3,63.3,0,47.3,47.3,0,1978,421,13172,9827,9094,8888,134,52,1966,466,10481,11650,13172,9827,1022,2311
Vijayawada,Vijayawada,Bapulapadu,84922,84922,0,42406,42516,1003,1003,0,8403,8403,0,4359,4359,0,4044,4044,0,928,928,0,55236,55236,0,28807,28807,0,26429,26429,0,29686,29686,0,13599,13599,0,16087,16087,0,72.2,72.2,0,75.7,75.7,0,68.7,68.7,0,1411,89,43204,12636,7931,4730,674,289,33188,7528,16191,25896,25148,14488,1067,2132
Vijayawada,Vijayawada,Agiripalle,62098,62098,0,31780,30318,954,954,0,6430,6430,0,3365,3365,0,3065,3065,0,911,911,0,37806,37806,0,20387,20387,0,17419,17419,0,24292,24292,0,11393,11393,0,12899,12899,0,67.9,67.9,0,71.8,71.8,0,63.9,63.9,0,2770,455,16286,9872,9370,7967,222,142,3924,1308,12561,17482,16286,9872,2933,2964
Vijayawada,Vijayawada,G.Konduru,57693,57693,0,29073,28620,984,984,0,6061,6061,0,3237,3237,0,2824,2824,0,872,872,0,34591,34591,0,18748,18748,0,15843,15843,0,23102,23102,0,10325,10325,0,12777,12777,0,67,67,0,72.6,72.6,0,61.4,61.4,0,2548,311,16155,9356,9436,8033,208,140,3963,872,11421,16255,16155,9356,1497,3009
Vijayawada,Vijayawada,Kanchikacherla,71075,71075,0,35430,35645,1006,1006,0,7747,7747,0,3934,3934,0,3813,3813,0,969,969,0,41291,41291,0,22971,22971,0,18320,18320,0,29784,29784,0,12459,12459,0,17325,17325,0,65.2,65.2,0,72.9,72.9,0,57.6,57.6,0,3037,744,19522,11278,10168,9203,193,109,6124,1222,14245,21779,19522,11278,1663,2588
